child_id,age_in_months,vocabulary_item_definition,item_category,production_ability,comprehension_ability
2,18,ZEBRA,animals,NA,NA
2,18,BELT,clothing,NA,NA
2,18,BIB,clothing,NA,NA
2,18,BOOT,clothing,NA,NA
2,18,BUTTON,clothing,NA,NA
2,18,COAT/JACKET,clothing,no,yes
2,18,DIAPER,clothing,yes,no
2,18,DRESS/CLOTHES,clothing,yes,no
2,18,EARRING,clothing,no,yes
2,18,GLASSES,clothing,yes,no
2,18,GLOVES,clothing,NA,NA
2,18,HAT,clothing,yes,no
2,18,HEARING AID,clothing,NA,NA
2,18,NECKLACE,clothing,NA,NA
2,18,PAJAMAS,clothing,no,yes
2,18,PANTS,clothing,no,yes
2,18,SANDAL,clothing,NA,NA
2,18,SCARF,clothing,NA,NA
2,18,SHIRT,clothing,no,yes
2,18,SHOE,clothing,yes,no
2,18,SNOWSUIT,clothing,NA,NA
2,18,SOCK,clothing,no,yes
2,18,SWEATER,clothing,NA,NA
2,18,SWIMSUIT,clothing,NA,NA
2,18,UNDERPANTS,clothing,NA,NA
2,18,WRISTWATCH,clothing,NA,NA
2,18,ZIPPER,clothing,NA,NA
2,18,AFTER,time_words,NA,NA
2,18,BEFORE,time_words,NA,NA
2,18,DAY,time_words,NA,NA
2,18,LATER,time_words,NA,NA
2,18,MORNING,time_words,NA,NA
2,18,NIGHT,time_words,NA,NA
2,18,NOT-YET,time_words,NA,NA
2,18,NOW,time_words,NA,NA
2,18,SOON,time_words,NA,NA
2,18,TIME,time_words,NA,NA
2,18,TODAY,time_words,NA,NA
2,18,TOMORROW,time_words,NA,NA
2,18,TONIGHT,time_words,NA,NA
2,18,YESTERDAY,time_words,NA,NA
2,18,AWAY,action_words,NA,NA
2,18,BITE,action_words,yes,no
2,18,BLOW,action_words,NA,NA
2,18,BREAK,action_words,yes,no
2,18,BRING/CARRY,action_words,no,yes
2,18,BUILD,action_words,no,yes
2,18,BUY,action_words,NA,NA
2,18,CATCH,action_words,no,yes
2,18,CHASE,action_words,NA,NA
2,18,CHAT,action_words,NA,NA
2,18,CLAP,action_words,yes,no
2,18,CLEAN,action_words,NA,NA
2,18,CLIMB,action_words,yes,no
2,18,CLOSE,action_words,no,yes
2,18,COOK,action_words,no,yes
2,18,CRY,action_words,yes,no
2,18,CUT,action_words,NA,NA
2,18,DANCE,action_words,no,yes
2,18,DRAW,action_words,NA,NA
2,18,DRINK,action_words,yes,no
2,18,DROP,action_words,yes,no
